data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-04-21 11:56:03.474052;0;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Holly Folsom;feminino;dinheiro
2024-04-21 14:45:06.209129;1;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Mark Plant;masculino;pix
2024-04-21 17:41:02.940956;2;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Christina Mcmillin;feminino;cartão de crédito
2024-04-21 21:14:01.084882;3;São Paulo;Ana Oliveira;Tablet Apple Ipad;Edward Ervin;masculino;cartão de crédito
2024-04-22 13:26:58.920230;4;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Nancy Scott;feminino;boleto
2024-04-22 14:07:59.145256;5;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Keith Ward;masculino;pix
2024-04-22 14:22:59.646813;6;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Jason Watson;masculino;dinheiro
2024-04-22 14:34:56.482754;7;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Henry Sanders;masculino;cartão de crédito
2024-04-22 14:35:57.614270;8;Florianópolis;Gabriela Santos;Smartwatch Garmin;Daniel Small;masculino;cartão de crédito
2024-04-22 16:14:05.559846;9;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Bernard Briggs;masculino;pix
2024-04-23 12:02:04.804376;10;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Lorie Honda;feminino;dinheiro
2024-04-23 12:39:03.779564;11;São Paulo;Lucas Pereira;Tablet Apple Ipad;David Woodard;masculino;pix
2024-04-23 13:33:02.983048;12;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Nina Berrios;feminino;pix
2024-04-23 16:35:03.362778;13;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Douglas White;masculino;dinheiro
2024-04-23 18:48:02.552880;14;São Paulo;Lucas Pereira;Smartwatch Garmin;Gaston Vian;masculino;boleto
2024-04-23 19:23:05.617903;15;Florianópolis;Tiago Lima;Tablet Apple Ipad;Pamela Plummer;feminino;pix
2024-04-23 20:18:01.313613;16;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Jacob Fletcher;masculino;boleto
2024-04-23 20:53:58.979425;17;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Tim Kivett;masculino;dinheiro
2024-04-23 21:22:56.948900;18;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Eugene Dunn;masculino;pix
